iter	Passed	Remaining
1350	37241	17890
1351	37268	17862
1352	37294	17833
1353	37320	17805
1354	37347	17777
1355	37372	17749
1356	37396	17719
1357	37416	17688
1358	37439	17659
1359	37464	17630
1360	37493	17603
1361	37519	17575
1362	37541	17545
1363	37565	17516
1364	37586	17485
1365	37609	17455
1366	37632	17426
1367	37657	17397
1368	37680	17367
1369	37709	17340
1370	37735	17312
1371	37760	17283
1372	37783	17254
1373	37807	17225
1374	37831	17196
1375	37856	17167
1376	37877	17137
1377	37902	17108
1378	37928	17080
1379	37956	17052
1380	37982	17024
1381	38010	16997
1382	38034	16968
1383	38059	16939
1384	38087	16912
1385	38113	16884
1386	38140	16856
1387	38168	16829
1388	38194	16801
1389	38221	16773
1390	38251	16747
1391	38283	16721
1392	38318	16697
1393	38354	16673
1394	38377	16643
1395	38403	16616
1396	38431	16588
1397	38458	16560
1398	38482	16531
1399	38505	16502
1400	38525	16471
1401	38540	16438
1402	38567	16410
1403	38589	16381
1404	38610	16351
1405	38635	16322
1406	38657	16292
1407	38679	16262
1408	38700	16232
1409	38723	16203
1410	38747	16174
1411	38772	16146
1412	38800	16118
1413	38820	16088
1414	38837	16056
1415	38855	16025
1416	38871	15993
1417	38891	15962
1418	38908	15930
1419	38931	15901
1420	38957	15873
1421	38983	15845
1422	39009	15817
1423	39031	15788
1424	39049	15756
1425	39064	15724
1426	39083	15693
1427	39108	15665
1428	39133	15636
1429	39161	15609
1430	39188	15582
1431	39304	15590
1432	39322	15558
1433	39347	15530
1434	39376	15503
1435	39404	15476
1436	39433	15449
1437	39462	15422
1438	39488	15394
1439	39516	15367
1440	39542	15339
1441	39573	15313
1442	39600	15285
1443	39631	15259
1444	39657	15231
1445	39678	15201
1446	39702	15173
1447	39722	15142
1448	39744	15113
1449	39766	15083
1450	39791	15055
1451	39817	15027
1452	39846	15000
1453	39879	14975
1454	39911	14949
1455	39938	14921
1456	39961	14892
1457	39987	14864
1458	40019	14839
1459	40048	14812
1460	40077	14785
1461	40106	14758
1462	40132	14730
1463	40156	14702
1464	40180	14673
1465	40205	14645
1466	40237	14619
1467	40266	14592
1468	40290	14563
1469	40312	14534
1470	40340	14507
1471	40360	14477
1472	40382	14447
1473	40405	14418
1474	40434	14392
1475	40462	14364
1476	40489	14337
1477	40515	14309
1478	40546	14283
1479	40572	14255
1480	40595	14226
1481	40615	14196
1482	40638	14167
1483	40666	14140
1484	40696	14113
1485	40721	14085
1486	40746	14057
1487	40770	14028
1488	40795	14000
1489	40819	13971
1490	40845	13944
1491	40872	13916
1492	40984	13917
1493	41011	13890
1494	41036	13861
1495	41062	13833
1496	41087	13805
1497	41110	13776
1498	41131	13746
1499	41151	13717
1500	41174	13688
1501	41199	13659
1502	41224	13631
1503	41252	13604
1504	41279	13576
1505	41314	13552
1506	41343	13525
1507	41373	13498
1508	41399	13470
1509	41429	13443
1510	41461	13418
1511	41492	13391
1512	41527	13366
1513	41551	13338
1514	41576	13309
1515	41602	13282
1516	41631	13255
1517	41658	13227
1518	41686	13200
1519	41711	13172
1520	41738	13144
1521	41768	13117
1522	41794	13090
1523	41819	13061
1524	41842	13032
1525	41866	13004
1526	41890	12975
1527	41915	12947
1528	41937	12918
1529	41963	12890
1530	41993	12864
1531	42018	12835
1532	42043	12807
1533	42066	12779
1534	42092	12751
1535	42111	12721
1536	42135	12692
1537	42161	12664
1538	42185	12636
1539	42210	12608
1540	42236	12580
1541	42259	12551
1542	42283	12523
1543	42309	12495
1544	42333	12467
1545	42358	12438
1546	42383	12411
1547	42410	12383
1548	42436	12355
1549	42461	12327
1550	42485	12299
1551	42504	12269
1552	42527	12240
1553	42551	12212
1554	42577	12184
1555	42601	12156
1556	42624	12127
1557	42649	12099
1558	42672	12071
1559	42693	12041
1560	42718	12013
1561	42741	11985
1562	42766	11957
1563	42801	11931
1564	42834	11906
1565	42867	11880
1566	42900	11854
1567	42923	11825
1568	42950	11798
1569	42976	11770
1570	43006	11743
1571	43037	11717
1572	43072	11692
1573	43099	11664
1574	43125	11637
1575	43149	11608
1576	43187	11584
1577	43214	11556
1578	43238	11528
1579	43263	11500
1580	43289	11472
1581	43314	11444
1582	43343	11417
1583	43405	11399
1584	43437	11373
1585	43462	11345
1586	43493	11318
1587	43523	11292
1588	43558	11266
1589	43595	11241
1590	43631	11216
1591	43662	11190
1592	43699	11165
1593	43732	11138
1594	43764	11112
1595	43797	11086
1596	43828	11060
1597	43861	11034
1598	43892	11007
1599	43921	10980
1600	43955	10954
1601	43984	10927
1602	44020	10902
1603	44054	10876
1604	44086	10849
1605	44115	10822
1606	44148	10796
1607	44179	10770
1608	44211	10743
1609	44246	10717
1610	44280	10692
1611	44313	10666
1612	44350	10640
1613	44379	10613
1614	44410	10587
1615	44445	10561
1616	44469	10532
1617	44511	10508
1618	44547	10483
1619	44581	10457
1620	44615	10431
1621	44642	10403
1622	44674	10377
1623	44706	10350
1624	44740	10324
1625	44776	10299
1626	44805	10272
1627	44838	10245
1628	44875	10220
1629	44959	10205
1630	45021	10185
1631	45072	10163
1632	45121	10140
1633	45157	10114
1634	45191	10088
1635	45223	10062
1636	45256	10035
1637	45298	10010
1638	45344	9987
1639	45407	9967
1640	45443	9941
1641	45470	9913
1642	45497	9886
1643	45535	9860
1644	45567	9833
1645	45597	9806
1646	45634	9780
1647	45664	9753
1648	45696	9726
1649	45779	9710
1650	45839	9689
1651	45875	9663
1652	45907	9636
1653	45939	9610
1654	45972	9583
1655	46013	9558
1656	46048	9531
1657	46083	9505
1658	46117	9479
1659	46146	9451
1660	46185	9426
1661	46220	9399
1662	46250	9372
1663	46280	9345
